Week,Tier,Player 1,Player 2,Date,Streamer,Match start,Board visibility start,VOD Link,P1 Score,P2 Score,Bingo,Winner
1,A,Mordaak,Gurizuri,2/21/2025,Matt,600,600,https://www.youtube.com/watch?v=EAkWHKjCxPY,8,6,P1,Mordaak
1,A,stnfwds,Spooty,2/23/2025,Sio,405,405,https://www.youtube.com/watch?v=bQABk_tPZ-c,6,6,P2,Spooty
1,A,RedRobot,Matt,2/20/2025,pizzapartytime,204,204,https://www.twitch.tv/videos/2425145393,13,6,-,RedRobot
1,A,bob salad,Peter Peladon,2/18/2025,Matt,515,515,https://www.youtube.com/watch?v=TNaqMCMXbdE,10,12,-,Peter Peladon
1,A,glove,Cosmoing,2/16/2025,Matt,699,699,https://www.youtube.com/watch?v=0XXkcaqShmo,11,12,-,Cosmoing
1,B,boardsofhannahda,Hugo,2/18/2025,,0,0,https://youtu.be/tr9DHFeiR-U,8,9,-,Hugo
1,B,tutes,Frank,2/18/2025,Cosmoing,243,243,https://www.youtube.com/watch?v=KI0Ct-OaWwo,7,13,-,Frank
1,B,Ghost,Kanvas,2/18/2025,pizzapartytime,106,106,https://www.twitch.tv/videos/2425144861,5,11,P2,Kanvas
1,B,sio,Flesh177,2/23/2025,Mordaak,102,102,https://www.youtube.com/watch?v=rLlzPQtUwH4,6,13,P2,Flesh177
1,B,may,CodeMeRight1,2/19/2025,Kanvas,115,115,https://youtu.be/Je1_PUmct3Q,8,6,-,may
1,B,bobbaro,pizzapartytime,2/19/2025,Matt,629,629,https://youtu.be/UHWGF6JT6v4?si=-TTePDSUcC67gCVA,7,5,-,bobbaro
1,B,CuthBucket,Marshmallow,2/19/2025,,7,7,https://www.youtube.com/watch?v=KQI8XKf9BSw,4,9,-,Marshmallow
1,B,goose,Val1407,2/22/2025,pizzapartytime,167,167,https://www.twitch.tv/videos/2388771699,8,5,-,goose
1,B,KeiperDontCare,Flick,2/23/2025,Matt,731,731,https://www.youtube.com/watch?v=cV15kSnH2q8,6,10,-,Flick
1,C,amarettosis,WinnerBit,2/20/2025,Sio,66,66,https://youtu.be/2q-8PSg9EMk,4,5,-,WinnerBit
1,C,Dom,parchmentEng,2/22/2025,Val1407,81,81,https://www.youtube.com/watch?v=wUaVYTowfjc,6,3,P1,Dom
1,C,dahdumbguy,Frogmoss10,2/19/2025,Val1407,539,539,https://www.youtube.com/watch?v=o7U01xjAr3w,3,5,P2,Frogmoss10
1,C,A guy,JoeyBlast,2/21/2025,Cosmoing,350,350,https://www.youtube.com/watch?v=dUV5XtlNLlY,8,6,P1,A guy
1,C,Morzis,Saffron,2/20/2025,Val1407,87,87,https://www.youtube.com/watch?v=-ks3euifhx4,9,6,-,Morzis
2,A,RedRobot,Peter Peladon,2/25/2025,Matt,451,451,https://www.youtube.com/watch?v=6j7s2cDXUwg,13,4,-,RedRobot
2,A,stnfwds,Tyler233,2/28/2025,Matt,526,526,https://youtu.be/yjl2reBSmRE,9,8,P1,stnfwds
2,A,glove,Gurizuri,2/25/2025,Val1407,480,480,https://www.youtube.com/watch?v=T7IOwxMCLWc,11,7,P1,glove
2,A,Cosmoing,Matt,3/1/2025,WinnerBit,642,642,https://www.twitch.tv/videos/2394992091,13,11,-,Cosmoing
2,A,bob salad,Mordaak,2/27/2025,Matt,608,608,https://youtu.be/603fS8UeL3U,10,7,P1,bob salad
2,A,Spooty,Khana,3/3/2025,Matt,682,682,https://youtu.be/0Uji8lSweiw,10,4,P1,Spooty
2,B,may,Val1407,2/26/2025,pizzapartytime,287,287,https://www.twitch.tv/videos/2425146195,7,3,-,may
