Week,Tier,Date,Player,Opponent,Game,Goal,Time (mins),Start URL,End URL
1,A,2/21/2025,Mordaak,Gurizuri,Barbuta,BARBUTA: Wield both secret weapons,6.0,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=600,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=960
1,A,2/21/2025,Gurizuri,Mordaak,Cyber Owls,CYBER OWLS: Complete 2 missions,7.3,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=600,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=1040
1,A,2/21/2025,Gurizuri,Mordaak,Rakshasa,RAKSHASA: Use each of the three weapon types in one run,1.3,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=1040,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=1120
1,A,2/21/2025,Mordaak,Gurizuri,Vainger,VAINGER: Collect 2 upgrade modules,6.2,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=960,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=1335
1,A,2/21/2025,Gurizuri,Mordaak,Campanella,"CAMPANELLA: Use BEAN-DRIP; Score 6,000 points in the Bonus Game",10.2,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=1120,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=1730
1,A,2/21/2025,Gurizuri,Mordaak,Fist Hell,FIST HELL: Destroy 2 UFOs,4.3,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=1730,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=1990
1,A,2/21/2025,Mordaak,Gurizuri,Camouflage,CAMOUFLAGE: Reach 70% completion or more,13.2,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=1335,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=2125
1,A,2/21/2025,Mordaak,Gurizuri,Golfaria,GOLFARIA: Obtain the Brakes,3.0,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=2125,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=2305
1,A,2/21/2025,Gurizuri,Mordaak,Mooncat,MOONCAT: Visit 12 different rooms,18.8,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=1990,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=3115
1,A,2/21/2025,Mordaak,Gurizuri,Porgy,PORGY: Achieve 20% Completion,22.7,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=2305,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=3665
